followers count,friends count,retweet count,favorite count,subjectivity,PolarityClass
16865,3649,2,8,0.2136363636363636,1
10150,3650,8,6,0.0,1
3834,2207,0,2,0.4888888888888889,1
8145,8821,0,0,0.0,1
1188,4927,0,1,0.0,1
295,1327,0,0,0.0,1
35,122,0,0,0.5,2
306,367,0,3,0.5,1
124,134,0,1,0.4666666666666667,2
17496,6592,0,1,0.0,1
13,13,1,1,0.6055555555555555,1
7748,5248,0,0,0.2272727272727273,1
324,314,0,0,0.0,1
51431,39968,2,0,0.0,1
165,48,0,0,0.0,1
188,857,0,0,0.3,2
395,324,0,1,0.0,1
1855,1586,3,5,0.0,1
262,298,3,0,0.25,1
150,133,2,0,0.9,1
14,27,0,1,0.5888888888888889,2
1193,234,2,5,0.0,1
79079,142,1,5,0.4772727272727273,2
27,63,0,0,0.3636363636363637,2
5,322,0,0,0.3564102564102564,1
2376,3332,0,0,0.5399999999999999,1
58,117,0,0,0.5,2
45,4,0,0,1.0,2
22,21,0,0,0.7,2
35971,1,4,6,0.375,1
31700,6079,0,3,0.4,1
8219,8979,0,0,0.21428571428571427,1
147746,22171,4,4,0.15,1
20574,1585,0,2,0.562962962962963,1
110414,973,1,1,0.0,1
4560,918,0,0,0.5,1
5777,4,0,0,0.0,1
18083,18694,0,0,0.0,1
16878,644,3,0,0.6,1
88,139,1,0,0.0,1
51431,39968,0,0,0.0,1
31700,6079,0,2,0.0,1
64,128,0,2,0.4545454545454545,1
6493,6863,0,1,0.0,1
21503,93,0,0,0.3,2
525,699,0,0,0.2333333333333333,1
94,113,0,1,0.40625,1
525,699,0,1,0.4,1
96,371,0,9,0.3,1
399,1110,0,0,0.3,1
1165,384,0,0,0.2,1
919,2918,0,3,0.0,1
382,9,0,0,0.375,1
16,10,0,0,0.0,1
8737,1510,2,0,0.0,1
207,741,0,0,0.5,2
311,1502,0,0,0.5,2
2883,1,1,0,0.3857142857142857,2
1602,1344,0,0,0.0,1
1602,1344,0,0,0.0,1
36,357,0,0,0.5,2
101,114,0,0,0.5125,1
124,409,0,0,0.5,2
2981,3035,0,0,0.43333333333333335,1
88,89,0,0,0.35,2
427,2184,1,1,1.0,1
24,392,0,0,0.2272727272727273,1
247,311,0,0,0.1,2
2174,761,2,0,0.3333333333333333,2
1265,614,0,0,0.7430555555555555,1
4,144,0,0,0.6333333333333334,2
11371,369,1,2,0.2638888888888889,1
47,305,0,0,0.5,2
346,440,0,1,0.25,2
51431,39968,0,0,1.0,1
3002,2951,1,1,0.3,1
24548,491,2,23,0.1,2
2430,502,1,0,1.0,2
228,438,0,0,0.0,1
13496,7783,0,0,0.4772727272727273,2
1841,4819,0,0,0.2833333333333333,1
46,156,0,2,0.5,2
77,222,0,0,0.21428571428571427,1
1816,884,0,0,0.0,1
25,133,0,1,0.65,2
20716,1284,2,10,0.11041666666666666,1
19,232,0,0,0.0,1
289,121,0,2,0.1,2
4,7,0,1,0.5,1
716,505,0,0,0.0,1
58,30,0,0,0.5357142857142857,2
1460,1341,2,2,0.5,1
4815,1527,4,22,0.0,1
179,262,0,0,0.0,1
4185,5234,0,0,0.0,1
392,1408,0,0,0.55,1
3676,1325,0,1,0.4545454545454545,1
1812,4614,1,31,0.0,1
1173,125,0,0,0.0,1
6487,5418,9,21,0.55,2
5543,4096,1,0,0.5416666666666666,0
338,694,0,0,0.9,0
240,1673,0,0,0.125,1
2817,2806,0,0,0.6,1
874,703,0,0,0.35,1
338,694,0,0,0.3,1
2338,1118,0,0,0.5,2
96,213,1,1,0.0,1
239928,73317,1,3,0.3344155844155844,1
2230,2557,0,1,1.0,2
8294,1710,0,1,0.5,2
8279,426,1,2,0.5,2
79079,142,5,4,0.75,2
259638,428,18,26,0.0,1
51431,39968,2,6,0.4545454545454545,1
219,1432,0,0,0.75,1
15251,9128,1,0,0.3,0
1636,575,5,2,0.3333333333333333,2
62,229,0,0,0.5833333333333333,2
374,925,0,0,0.09444444444444444,1
525,699,1,2,0.30000000000000004,1
347,592,0,0,0.4333333333333333,2
187,323,0,0,0.5,0
232,98,0,1,0.0,1
10,9,0,1,0.0,1
37785,15505,0,0,0.5,2
10634,4308,0,1,0.0,1
1314,32,1,1,0.5,2
5794,4061,0,0,0.0,1
4898,1286,1,3,0.5,2
111,138,0,2,0.1,1
3002,2951,3,1,0.0,1
33,171,1,0,0.4,1
466,181,0,1,0.78125,1
0,27,0,1,0.5,2
17454,4455,1,0,0.4545454545454545,1
236,242,0,0,0.15,1
18083,18694,0,0,0.0,1
16696,3671,0,0,0.6,1
291,8,0,0,0.0,1
267,35,0,0,0.5833333333333334,1
532,164,0,2,0.4857142857142857,1
2,0,0,1,0.7,2
1776,115,1,2,0.875,1
2860,920,0,1,0.0,1
610,424,0,2,0.0,1
3440,334,1,2,0.5,2
352,1934,1,1,0.0,1
177,314,0,2,0.9,1
175,144,0,2,0.5357142857142857,2
3402,177,0,0,0.10714285714285714,1
2353,2053,2,10,0.8,0
109,138,0,0,0.2833333333333334,1
109,138,0,0,0.6277777777777778,2
62738,1036,4,5,0.6625,1
40,42,0,0,0.5,2
154,178,0,7,0.0,1
431,362,0,4,0.3,2
294,344,1,1,0.5,1
537,275,0,0,0.0,1
187,323,0,0,0.3333333333333333,2
2024,266,1,2,0.0,1
45,17,0,3,0.0,1
126,683,0,0,0.4,1
10336,1,1,1,0.0,1
1932,1212,1,0,0.0,1
2230,2557,0,2,1.0,2
1989,537,0,0,0.0,1
302,241,0,0,0.9166666666666669,1
588,409,0,2,0.75,1
92,352,0,0,0.0,1
3258,2948,4,17,0.15151515151515152,1
29598,19432,0,0,0.1875,1
1189,428,2,2,0.0,1
2554,2150,1,1,0.6,2
73,369,0,0,0.0,1
18,378,0,0,0.0,1
344,1147,0,0,0.6333333333333333,2
17767,15488,0,0,0.45,2
2554,2150,2,1,0.6226190476190476,1
398,513,0,0,0.0,1
2922,2925,0,0,0.0,1
257,380,1,0,0.3,1
637,390,0,0,0.35,2
2401,524,0,0,0.35,2
16,16,0,1,0.2833333333333333,1
274,138,0,0,0.0,1
116898,1240,3,4,0.38333333333333336,1
104953,3404,1,3,0.5714285714285714,2
97394,98593,2,1,0.4272727272727273,1
1165,384,0,0,0.3,1
2745,1662,0,1,0.0,1
1479,1962,1,0,0.8,2
20717,4232,0,3,0.0,1
28167,3579,2,2,0.0,1
240,1673,0,0,0.7749999999999999,1
2734,4927,0,0,0.6888888888888888,1
789,989,2,2,0.8500000000000001,2
1462,3089,0,0,0.175,0
282,315,0,0,0.0,1
2984402,1198,33,111,0.5,2
1049,1831,1,1,0.3375,1
6659,2516,0,1,0.9,2
3418,3066,0,0,0.0,1
144,584,0,1,0.4666666666666666,0
1755,1233,0,1,0.3625,2
109,68,0,0,0.15,1
122,97,0,1,0.0,1
17,330,0,0,0.375,1
6644,2903,2,0,0.8333333333333334,1
8145,8821,0,0,0.5,2
17767,15488,0,0,0.0,1
238,486,0,1,0.0,1
7076,1793,0,0,0.0,1
1049,1831,0,1,0.19722222222222224,1
519,403,0,0,0.0,1
11,72,0,0,0.10714285714285714,1
135150,28270,0,0,0.4,1
4094,4006,0,0,0.0,1
905,1327,1,0,0.9,2
29722,2704,1,4,0.25,2
99,192,0,0,0.26666666666666666,1
162,327,0,0,0.6000000000000001,1
1612,4839,6,12,0.475,1
2034,1181,1,4,0.775,2
104,193,3,6,0.2625,2
4659,0,0,0,0.0,1
120,461,0,0,0.0,1
4736,928,2,2,0.21428571428571427,1
2984,3435,0,0,0.0,1
728,2332,0,0,0.4714285714285714,1
94,263,0,0,1.0,0
1516,0,0,0,0.0,1
0,98,0,1,0.6,0
106,84,0,0,0.0,1
11,18,1,0,0.4545454545454545,1
1876,882,0,0,0.35,2
3502,8,0,0,0.0,1
3502,8,0,0,0.0,1
9113,2139,0,1,1.0,1
63,69,0,0,0.5,1
2230,2557,0,2,1.0,2
776,4052,0,0,0.0,1
137,95,0,2,0.0,1
909,529,3,5,0.0,1
1721,0,0,0,0.0,1
1935,2518,0,0,0.0,1
3930,1545,0,1,0.8,2
61,899,0,0,0.2272727272727273,1
561,1005,2,1,0.5,1
326,167,0,0,0.0,1
0,5,0,0,0.0,1
16898,1527,0,3,0.5,2
8,144,0,0,0.43333333333333335,1
356,905,2,2,0.4666666666666667,2
142,601,3,4,0.5625,2
33,1402,1,13,0.7,0
210,102,0,1,0.35,2
11839,1982,9,31,0.2229437229437229,1
5772,856,1,3,0.7000000000000001,2
22207,10028,3,8,0.2772727272727273,1
104143,229,2,2,0.30000000000000004,2
934,214,1,3,0.6523809523809524,2
1554,458,1,3,0.5,1
193,342,0,0,0.0,1
137,1876,0,0,0.0,1
174,111,0,0,0.3,1
427,828,1,6,0.25,2
761,426,0,0,0.21428571428571427,1
38369,782,0,2,0.3,1
327,412,0,8,0.0,1
1171,1464,0,2,0.10714285714285714,1
235,201,0,3,1.0,1
11583,2030,0,6,0.30000000000000004,2
1,10,1,2,0.0,1
258,524,0,1,0.0,1
978,1904,0,2,0.5,2
2334,2342,2,3,0.15151515151515152,1
274,681,0,1,0.2380952380952381,1
152,335,0,0,0.4545454545454545,1
10583,10806,3,3,0.0,1
18920,14897,0,1,0.2462962962962963,1
1077,1654,0,1,0.3444444444444444,2
88,63,0,0,0.4545454545454545,1
12311,831,1,1,0.4545454545454545,1
1533,978,0,0,0.3939393939393939,1
96791,71,10,6,1.0,0
4,82,0,0,0.5,2
883,1335,0,2,0.4,1
12600,877,2,8,0.3939393939393939,1
4,82,0,0,0.5,2
4394,4733,0,6,0.3555555555555556,2
41,53,0,0,0.0,1
6644,2903,2,0,0.75,2
757,388,0,1,0.5,1
682,399,0,4,0.3,1
11583,2030,0,2,0.0,1
240,1673,0,0,0.3958333333333333,1
1533,978,0,0,0.6166666666666667,1
9610,4016,1,2,0.475,2
12600,877,0,3,0.6166666666666667,1
3008,656,0,1,0.4916666666666667,1
75986,193,5,8,0.0,1
240,32,0,0,0.8500000000000001,2
5044,5544,0,1,0.4545454545454545,1
559,0,0,0,0.5416666666666666,0
107,328,0,0,0.5606060606060606,1
27,423,0,0,0.0,1
20,24,0,0,0.5,2
473,1223,0,0,0.21428571428571427,1
8062,478,1,1,0.4,1
25577,3056,0,2,0.0,1
368,250,0,1,0.95,1
156,484,0,0,0.0,1
93436,459,0,1,0.4545454545454545,1
5306,1039,0,2,0.6666666666666667,2
85996,1117,3,18,0.0,1
22458,16087,0,0,0.0,1
31,162,0,0,0.0,1
93,451,1,1,0.5,1
654,1338,0,0,0.5,2
1829,219,1,1,0.45,2
3822,4836,1,0,0.0,1
53,91,1,0,0.5625,2
4168,2549,0,4,0.0,1
13027,2908,5,9,0.0,1
76,51,0,0,0.5,1
13976,1181,0,7,0.2,2
60,39,0,0,0.5,2
19235,912,8,11,0.3,1
10750,10775,0,1,0.5357142857142857,2
16,1,1,0,0.75,2
1662,358,6,2,1.0,1
697,1105,0,0,0.0,1
2452,3383,0,0,0.7666666666666666,1
3077,2509,0,0,0.8666666666666667,0
795,491,4,2,0.0,1
1211,1130,0,3,0.4583333333333333,2
668,389,1,2,0.2444444444444445,1
554,2771,1,5,0.4875,2
180,534,0,1,0.5,0
240,1673,1,1,0.0,1
63620,69670,0,0,0.21428571428571427,1
3394,504,1,0,0.2833333333333333,1
38,287,1,0,0.0,1
2443,997,1,2,0.4272727272727273,1
132,60,0,0,0.0,1
1540,1682,0,0,0.2333333333333333,1
90,79,0,0,0.2833333333333333,2
1261,1349,0,0,0.0,1
191,158,0,0,0.0,1
145,165,1,0,0.65,1
2566,254,0,0,0.4,1
2032,228,3,0,0.0,1
1816,884,0,1,1.0,1
796,1016,0,0,0.5875,1
820,256,1,0,0.7999999999999999,2
3655,133,1,1,0.45625,1
147,214,0,0,0.0,2
1779,904,102,106,0.0,1
191,628,0,1,1.0,1
3637,883,0,0,0.35,1
3595,2894,1,1,0.0,1
171,402,0,0,0.0,1
758,809,0,0,0.32559523809523805,1
191,628,0,1,0.7678571428571428,1
3637,883,0,1,0.0,1
1970,1089,1,6,0.4833333333333334,2
31,87,1,1,0.5333333333333333,0
5966,4566,7,9,0.1,0
4,42,0,0,1.0,2
