followers count,friends count,retweet count,favorite count,polarity,SubjectivityClass
16865,3649,2,8,0.08409090909090909,0
10150,3650,8,6,0.0,0
3834,2207,0,2,0.05555555555555556,1
8145,8821,0,0,0.0,0
1188,4927,0,1,0.0,0
295,1327,0,0,0.0,0
35,122,0,0,0.5,1
306,367,0,3,-0.06818181818181818,1
124,134,0,1,0.6333333333333333,1
17496,6592,0,1,0.0,0
13,13,1,1,0.11111111111111112,2
7748,5248,0,0,0.06818181818181818,0
324,314,0,0,0.0,0
51431,39968,2,0,0.0,0
165,48,0,0,0.0,0
188,857,0,0,0.2,0
395,324,0,1,0.0,0
1855,1586,3,5,0.0,0
262,298,3,0,0.0,0
150,133,2,0,0.1,2
14,27,0,1,0.2888888888888889,1
1193,234,2,5,0.0,0
79079,142,1,5,0.3181818181818182,1
27,63,0,0,0.2340909090909091,0
5,322,0,0,0.17435897435897432,0
2376,3332,0,0,0.16,1
58,117,0,0,0.5,1
45,4,0,0,0.4,2
22,21,0,0,0.55,2
35971,1,4,6,0.0,0
31700,6079,0,3,0.0,0
8219,8979,0,0,-0.07142857142857142,0
147746,22171,4,4,0.05,0
20574,1585,0,2,0.16666666666666666,1
110414,973,1,1,0.0,0
4560,918,0,0,0.0,1
5777,4,0,0,0.0,0
18083,18694,0,0,0.0,0
16878,644,3,0,0.1,2
88,139,1,0,0.0,0
51431,39968,0,0,0.0,0
31700,6079,0,2,0.0,0
64,128,0,2,0.13636363636363635,1
6493,6863,0,1,0.0,0
21503,93,0,0,1.0,0
525,699,0,0,-0.08333333333333333,0
94,113,0,1,-0.15625,1
525,699,0,1,0.0,0
96,371,0,9,0.0,0
399,1110,0,0,0.0,0
1165,384,0,0,0.0,0
919,2918,0,3,0.0,0
382,9,0,0,0.0,0
16,10,0,0,0.0,0
8737,1510,2,0,0.0,0
207,741,0,0,0.5,1
311,1502,0,0,0.5,1
2883,1,1,0,0.2071428571428572,0
1602,1344,0,0,0.0,0
1602,1344,0,0,0.0,0
36,357,0,0,0.5,1
101,114,0,0,0.075,1
124,409,0,0,0.5,1
2981,3035,0,0,0.16666666666666666,1
88,89,0,0,0.35,0
427,2184,1,1,0.1,2
24,392,0,0,0.06818181818181818,0
247,311,0,0,0.2,0
2174,761,2,0,0.3125,0
1265,614,0,0,-0.03472222222222223,2
4,144,0,0,0.4000000000000001,2
11371,369,1,2,0.1,0
47,305,0,0,0.5,1
346,440,0,1,0.25,0
51431,39968,0,0,0.0,2
3002,2951,1,1,0.0,0
24548,491,2,23,0.3,0
2430,502,1,0,0.5,2
228,438,0,0,0.0,0
13496,7783,0,0,0.3181818181818182,1
1841,4819,0,0,-0.09375,0
46,156,0,2,0.3,1
77,222,0,0,-0.07142857142857142,0
1816,884,0,0,0.0,0
25,133,0,1,0.35,2
20716,1284,2,10,-0.02291666666666667,0
19,232,0,0,0.0,0
289,121,0,2,0.3,0
4,7,0,1,0.0,1
716,505,0,0,0.0,0
58,30,0,0,0.2857142857142857,1
1460,1341,2,2,0.05000000000000002,1
4815,1527,4,22,0.0,0
179,262,0,0,0.0,0
4185,5234,0,0,0.0,0
392,1408,0,0,0.0,1
3676,1325,0,1,0.13636363636363635,1
1812,4614,1,31,0.0,0
1173,125,0,0,0.0,0
6487,5418,9,21,0.3,1
5543,4096,1,0,-0.2916666666666667,1
338,694,0,0,-0.4,2
240,1673,0,0,0.0,0
2817,2806,0,0,0.1,2
874,703,0,0,0.006250000000000006,0
338,694,0,0,0.0,0
2338,1118,0,0,0.5,1
96,213,1,1,0.0,0
239928,73317,1,3,0.032467532467532464,0
2230,2557,0,1,0.75,2
8294,1710,0,1,0.5,1
8279,426,1,2,0.5,1
79079,142,5,4,0.3,2
259638,428,18,26,0.0,0
51431,39968,2,6,0.13636363636363635,1
219,1432,0,0,0.0,2
15251,9128,1,0,-0.5,0
