followers count,friends count,retweet count,favorite count,PolarityClass,subjectivity
2061,2309,0,0,1,0
183,541,0,2,2,0.383333333
2111,1406,0,3,2,0.675
650,1520,0,0,1,0
14638,14195,1,2,1,0
82,383,0,0,1,0.1
11,19,0,0,1,0
622,682,0,0,1,0
416,1610,0,8,0,0.9
14,10,0,0,2,0.5
197,229,0,4,1,0.26031746
160,817,0,1,,0.5
14634,2446,11,99,,0.888888889
359,276,0,0,,0.9
147,78,0,0,,0
167257,3375,80,167,,0.583333333
5844,1631,0,8,,0.32962963
3777,582,0,1,,0
415739,2001,6,4,,0
78,313,0,0,,0.9
12020,11666,8,6,,0.4
988,2473,0,0,,0
725,787,0,0,,0.6875
1151,2250,0,0,,0.125
1854,2064,0,0,,0.55
2718,1420,1,2,,0.3
1081,779,0,0,,0
5142,5617,0,1,,0
310,5003,0,2,,0
669,475,3,8,,0
6919,1713,4,308,,0
2500,2004,0,3,,0.066666667
573,2204,0,0,,0.825
1030,1998,0,2,,0.560606061
1502,2453,0,0,,0.6
1392,307,0,0,,0
1961,82,0,0,,0.5
146,231,0,0,,0.25
12398,12185,0,5,,0.3
53,260,0,0,,0
16,156,0,0,,0.733333333
463,1167,0,1,,0
9834,6761,0,0,,0.6
113,125,0,0,,0
8450,1863,1,2,,0.694444444
416,380,0,0,,0.2
326366,54360,19,95,,0
12,95,0,0,,0.25
1724,4931,0,1,,0.75
1,4,0,0,,1
770,875,0,0,,0
2,91,0,0,,0
3125,4897,0,1,,0.6
1754,2644,0,0,,0.4875
3317,4977,8,12,,0.5
13,38,0,0,,0
1993,3495,0,0,,0
16665,2052,1,2,,0
40,356,0,0,,0.9
6,18,1,11,,0
940,824,0,0,,0.607142857
14,258,0,0,,0
8740,156,0,9,,0.383333333
286,174,0,0,,0.6
223,169,1,2,,0.5
696,647,1,1,,0
19,415,0,0,,0
20,76,0,1,,0.35
6859,6738,0,0,,0.6
189,751,0,0,,0.4
16056,16448,0,1,,0
6644,6602,0,0,,0.4
457,1512,1,0,,0.45
3656,174,0,0,,0.4
78,311,0,0,,0.352430556
406,1098,0,0,,0.900462963
4625,1110,0,1,,0.25
457,1512,0,0,,0.066666667
588,718,0,0,,0.6
331,235,0,0,,0
264,490,0,0,,0.5
2385,4953,11,49,,0
1015,1520,0,0,,0.25
10830,837,1,1,,0
251,7,4,8,,0.454545455
31,61,0,1,,0
587,366,2,2,,0.6
210,1412,0,0,,0
7108,6968,0,0,,0.3
0,1,0,0,,0.1
856,5000,0,0,,0.428571429
4959,4926,5,7,,0.6
1807,334,0,0,,0.470238095
12229,13347,0,2,,0
75,295,0,0,,0
56,115,0,1,,0.21875
19,14,1,0,,0
1,71,0,0,,0.420238095
32509,565,4,8,,0
1290,5001,0,0,,0.454545455
150,254,0,0,,0
5164,805,5,15,,0.666666667
1538,1524,0,1,,0
396,1424,0,0,,0
3901,3868,0,0,,0.55
277,1352,0,0,,1
28394,24458,1,5,,0.55
128,552,268,1479,,0.527777778
35499,36164,0,3,,1
3394,1443,0,0,,0.4
331,321,0,1,,0.275
39,154,0,2,,0.125
986,1452,0,0,,0.166666667
1111,1852,0,3,,0.428571429
2216,333,4,13,,0.588888889
