followers count,friends count,retweet count,favorite count,polarity,SubjectivityClass
2061,2309,0,0,0,0
183,541,0,2,0.4,0
2111,1406,0,3,0.266666667,2
650,1520,0,0,0,0
14638,14195,1,2,0,0
82,383,0,0,0,0
11,19,0,0,0,0
622,682,0,0,0,0
416,1610,0,8,-0.8,2
14,10,0,0,0.5,1
197,229,0,4,0,0
160,817,0,1,0.5,1
14634,2446,11,99,0.5,2
359,276,0,0,1,2
147,78,0,0,0,0
167257,3375,80,167,-0.141666667,
5844,1631,0,8,-0.083333333,
3777,582,0,1,0,
415739,2001,6,4,0,
78,313,0,0,0.2,
12020,11666,8,6,0.35,
988,2473,0,0,0,
725,787,0,0,-0.3125,
1151,2250,0,0,0,
1854,2064,0,0,-0.4,
2718,1420,1,2,0.125,
1081,779,0,0,0,
5142,5617,0,1,-0.1,
310,5003,0,2,0,
669,475,3,8,0,
6919,1713,4,308,0,
2500,2004,0,3,0,
573,2204,0,0,-0.121875,
1030,1998,0,2,-0.098484848,
1502,2453,0,0,0.3,
1392,307,0,0,0,
1961,82,0,0,0.05,
146,231,0,0,-0.1,
12398,12185,0,5,0,
53,260,0,0,0,
16,156,0,0,0.533333333,
463,1167,0,1,0,
9834,6761,0,0,0.3,
113,125,0,0,0,
8450,1863,1,2,0.318181818,
416,380,0,0,0.2,
326366,54360,19,95,0,
12,95,0,0,-0.25,
1724,4931,0,1,0.8,
1,4,0,0,0,
770,875,0,0,0,
2,91,0,0,0,
3125,4897,0,1,0.3,
1754,2644,0,0,0.0125,
3317,4977,8,12,0.5,
13,38,0,0,0,
1993,3495,0,0,0,
16665,2052,1,2,0,
40,356,0,0,0.2,
6,18,1,11,0,
940,824,0,0,0.264285714,
14,258,0,0,0,
8740,156,0,9,0.1,
286,174,0,0,0.3,
223,169,1,2,0.136363636,
696,647,1,1,0,
19,415,0,0,0,
20,76,0,1,0.35,
6859,6738,0,0,0.3,
189,751,0,0,-0.05,
16056,16448,0,1,0,
6644,6602,0,0,0.8,
457,1512,1,0,0.3,
3656,174,0,0,0.3,
78,311,0,0,0.386111111,
406,1098,0,0,0.270833333,
4625,1110,0,1,0.025,
457,1512,0,0,0,
588,718,0,0,0.3,
331,235,0,0,0,
264,490,0,0,-0.1875,
2385,4953,11,49,0,
1015,1520,0,0,0.25,
10830,837,1,1,0,
251,7,4,8,0.136363636,
31,61,0,1,0,
587,366,2,2,0.3,
210,1412,0,0,0,
7108,6968,0,0,0.55,
0,1,0,0,-0.1,
856,5000,0,0,0.214285714,
4959,4926,5,7,0.7,
1807,334,0,0,-0.255952381,
12229,13347,0,2,0,
75,295,0,0,0,
56,115,0,1,-0.15625,
19,14,1,0,0,
1,71,0,0,0.285714286,
32509,565,4,8,0,
1290,5001,0,0,0.136363636,
150,254,0,0,0,
5164,805,5,15,-0.016666667,
1538,1524,0,1,0,
396,1424,0,0,0,
3901,3868,0,0,0.4,
277,1352,0,0,0,
28394,24458,1,5,-0.4,
128,552,268,1479,0,
35499,36164,0,3,0.4,
3394,1443,0,0,0.1,
331,321,0,1,0.1,
39,154,0,2,0,
986,1452,0,0,0.111111111,
1111,1852,0,3,0.214285714,
2216,333,4,13,-0.522222222,
3858,4616,0,0,0,
3,57,0,0,-0.116666667,
251,386,0,0,0.3,
568,4948,0,1,0.168181818,
3061,3365,3,6,0.5,
71,137,1,4,0.3,
245,1637,0,0,0,
23738,1448,4,2,0.5,
57,588,0,0,0,
358,117,0,0,0.05,
65,678,0,0,0.136363636,
147,449,0,0,0.5,
24987,23839,3,3,0,
84,220,0,0,0,
2029,5002,0,0,-0.033333333,
9,98,0,0,0,
268,882,0,0,0.3,
728,1144,0,0,0,
24594,14942,0,0,0.5,
1,12,0,1,0.75,
70,373,0,0,0,
10640,10133,1,1,0.25,
951,2113,0,1,0,
471,806,0,0,0,
2155,4606,1,1,-0.666666667,
106,243,0,5,0,
6,35,0,0,-0.3125,
277049,278440,1,1,-0.3,
312,269,0,1,0.7,
283,958,0,1,0,
5559,154,1,2,0.1,
14381,15814,63,187,0,
164,698,0,0,0,
8,174,0,0,0.4,
454,1053,0,0,-0.6,
53417,445,1,3,0.0625,
66,625,0,0,0,
25,55,0,1,0.55,
210,538,0,0,0,
364,172,0,0,0.26,
42162,1247,0,2,0,
471,1282,1,1,0,
5,1,0,0,0,
4448,3988,0,0,0.133333333,
1,6,0,0,0.136363636,
1194,1043,0,0,0,
5167,5022,0,2,0,
921,488,33,82,0,
65,188,1,2,-0.45,
1392,307,2,1,0.3,
1085,1931,0,0,0,
297,343,0,2,0,
93,953,0,0,0,
26946,26596,14,64,0,
97,164,0,0,0,
3882,4310,3,3,0,
2,73,0,0,0,
95,376,0,3,0,
1406,2155,0,0,0.254166667,
23614,24158,2,8,0.1,
673,369,1,2,0.168181818,
986,3808,1,0,0,
19072,21070,0,1,0.325,
150,453,1,1,0,
17159,16069,0,1,0.1,
73384,563,2,8,0,
97,152,0,0,0.328571429,
215080,830,1,10,0,
451,375,0,0,0.227272727,
221,1047,0,0,0,
173733,657,2,3,0,
8608,3354,0,0,0,
194,443,0,0,0.05,
313,324,0,0,0,
107,1052,1,1,0.2,
327,562,0,0,0,
1326,982,0,5,0,
133,96,0,0,0.3,
8,36,0,0,0,
2675,2345,0,0,0.3,
184,162,0,0,0.357142857,
58215,573,13,51,-0.028409091,
126219,0,3,5,0.144444444,
19,40,0,0,0,
17,65,0,0,0,
27733,2750,30,270,-0.145833333,
670,1415,6,22,0,
1862,2323,0,0,0,
55696,30324,0,4,0,
11707,990,5,6,0.136363636,
223,824,0,0,0.285714286,
16618,16539,5,20,0,
122,34,0,0,0.566666667,
254,875,0,0,0,
171,341,0,0,0.8,
35,30,0,0,0,
348,1401,1,4,0,
2,73,0,0,0,
14827,1000,0,4,0,
17477,11500,1,92,-0.081818182,
3158,319,0,2,0,
8,287,0,3,0,
184,77,0,0,0,
600,1086,1,7,0.6,
5290,4832,0,1,0.5,
1489,2498,1,2,0.133333333,
9264,9955,16,60,0,
316,1493,0,0,0.078787879,
475,692,0,2,0.5,
15266,9606,8,10,0,
10596,11333,0,2,0,
171,1010,0,0,0,
30155,22151,42,480,0.8,
1892,2099,1,1,0.5,
1860,1262,2,4,-0.7,
310,5003,0,1,0,
17015,16839,0,4,0.3,
203,603,2,7,-0.125,
124,475,0,1,0,
22,38,0,0,0,
17,291,0,0,-0.5,
120,376,0,0,-0.25,
171,1010,1,0,0,
521,67,0,1,0,
2797,3171,0,2,0,
349356,17,1,7,0,
9215,8750,3,3,0.05,
59,281,0,0,0.3,
1562,1064,0,0,0,
200,291,0,0,0,
3195,1400,0,0,0.136363636,
42,265,0,0,0.5,
8002,7250,2,6,0.3,
943,1138,0,1,0,
63,378,0,0,0.1,
622,125,0,0,0,
9448,86,11,20,-0.025,
369598,89,61,83,0,
16928,1998,69,341,0,
12931,14080,0,2,0,
1774,519,1,7,0.1,
4510,4965,0,0,0.3,
33,58,0,1,0.166666667,
3,464,0,0,0.136363636,
6563,6089,2,16,-0.25,
87,453,2,9,0.285714286,
112953,1361,5,48,0.3375,
332,596,0,0,0,
5443,1612,2,4,0,
38,228,0,0,0,
1244,1519,0,0,0.75,
7284,7732,0,1,0.5,
14638,14195,0,2,0,
603,1435,0,0,0.136363636,
5016,2031,11,53,-0.125,
378,371,1,6,0.7,
5176,982,0,5,0,
8945,6844,3,37,0,
75,306,0,0,0.7,
2606,3866,0,1,0,
8,40,0,0,0,
587,214,2,2,0,
681,1033,0,0,0,
793,830,0,1,0.368181818,
3660,4853,2,5,0.311111111,
4581,4994,0,0,0.3,
2009,1308,2,13,0.375,
10142,10347,36,45,0.4,
147,346,1,3,0,
7,255,0,0,0,
6,60,0,0,0,
41,160,0,0,0,
1168,1700,0,0,0.3,
116098,246,1,5,-0.025,
8,39,0,0,0.2,
4417,1193,7,19,0.357142857,
242,542,0,0,0,
507,1651,0,0,0,
40,197,0,0,0.136363636,
3802,1985,5,10,0,
171,177,1,9,0.675,
3094,3639,0,1,0,
2108,448,2,4,0.25,
318980,74,13,97,0,
200072,25894,2,5,0.1,
36920,2121,14,11,0,
223,806,0,0,-0.1125,
1043,1709,0,4,0,
4227,4920,0,0,0.5,
0,21,0,0,0,
2561,148,3,16,-0.4,
3792,384,0,0,0,
356,1164,0,0,0.05,
169,837,0,0,0.1,
1332,1166,2,3,-0.225,
1933,2171,0,0,0,
19,37,0,0,0.3046875,
291,257,0,0,0.3,
28,253,0,0,0.1,
77780,7060,36,93,0.4,
10,57,0,0,-0.5,
6333,6092,0,5,0,
291,257,0,0,0.2,
120,515,0,0,0,
216,130,1,0,0.2375,
1431,683,0,0,0,
8,41,0,0,0.136363636,
307731,2046,621,1401,0.4,
16430,16030,3,3,0,
645,1406,0,0,0,
890,746,17,28,0.25,
105,416,0,1,0,
62,243,0,0,0.136363636,
10,57,0,0,-0.5,
2012,762,0,1,0,
12,60,0,2,0,
22,38,0,0,0,
1530,2573,0,0,-0.291666667,
2812,4127,2,26,0.25,
19,57,0,0,0,
907,1283,0,0,0.3,
111550,368,6,27,0.1,
442,877,0,2,0,
619,836,0,1,-0.219444444,
11882,12332,0,1,0.136363636,
925,425,0,0,0.133333333,
105,303,0,0,0.6,
1449,8,0,0,0,
12,60,0,1,0,
30777,26200,28,62,0,
12,60,0,1,0,
3,12,0,0,0,
371,456,0,0,0,
44769,971,4,18,0,
175,484,0,1,0,
83413,76918,3,3,0,
635,298,0,13,0.391666667,
62,19,0,0,0.033928571,
184,288,1,1,0,
25980,27616,0,1,0,
661,1131,0,0,0,
12,34,0,0,0,
25,146,0,0,0.2,
4265,3992,0,3,-0.291666667,
10,61,1,4,0.075,
7974,8764,0,0,0,
395,5000,0,0,0.5,
994,883,0,0,-0.4,
