followers count,friends count,retweet count,favorite count,polarity,SubjectivityClass
2061,2309,0,0,0.0,0
183,541,0,2,0.4,0
2111,1406,0,3,0.26666666666666666,2
650,1520,0,0,0.0,0
14638,14195,1,2,0.0,0
82,383,0,0,0.0,0
11,19,0,0,0.0,0
622,682,0,0,0.0,0
416,1610,0,8,-0.8,2
14,10,0,0,0.5,1
197,229,0,4,0.0,0
160,817,0,1,0.5,1
14634,2446,11,99,0.5,2
359,276,0,0,1.0,2
147,78,0,0,0.0,0
167257,3375,80,167,-0.14166666666666666,1
5844,1631,0,8,-0.08333333333333333,0
3777,582,0,1,0.0,0
415739,2001,6,4,0.0,0
78,313,0,0,0.2,2
12020,11666,8,6,0.35,0
988,2473,0,0,0.0,0
725,787,0,0,-0.3125,2
1151,2250,0,0,0.0,0
1854,2064,0,0,-0.4,1
2718,1420,1,2,0.125,0
1081,779,0,0,0.0,0
5142,5617,0,1,-0.1,0
310,5003,0,2,0.0,0
669,475,3,8,0.0,0
6919,1713,4,308,0.0,0
2500,2004,0,3,0.0,0
573,2204,0,0,-0.121875,2
1030,1998,0,2,-0.09848484848484848,1
1502,2453,0,0,0.3,2
1392,307,0,0,0.0,0
1961,82,0,0,0.05000000000000002,1
146,231,0,0,-0.1,0
12398,12185,0,5,0.0,0
53,260,0,0,0.0,0
16,156,0,0,0.5333333333333333,2
463,1167,0,1,0.0,0
9834,6761,0,0,0.3,2
113,125,0,0,0.0,0
8450,1863,1,2,0.3181818181818182,2
416,380,0,0,0.2,0
326366,54360,19,95,0.0,0
12,95,0,0,-0.25,0
1724,4931,0,1,0.8,2
1,4,0,0,0.0,2
770,875,0,0,0.0,0
2,91,0,0,0.0,0
3125,4897,0,1,0.3,2
1754,2644,0,0,0.01249999999999999,1
3317,4977,8,12,0.5,1
13,38,0,0,0.0,0
1993,3495,0,0,0.0,0
16665,2052,1,2,0.0,0
40,356,0,0,0.2,2
6,18,1,11,0.0,0
940,824,0,0,0.2642857142857143,2
14,258,0,0,0.0,0
8740,156,0,9,0.10000000000000002,0
286,174,0,0,0.3,2
223,169,1,2,0.13636363636363635,1
696,647,1,1,0.0,0
19,415,0,0,0.0,0
20,76,0,1,0.35,0
6859,6738,0,0,0.3,2
189,751,0,0,-0.05,0
16056,16448,0,1,0.0,0
6644,6602,0,0,0.8,0
457,1512,1,0,0.3,1
3656,174,0,0,0.3,0
78,311,0,0,0.3861111111111111,0
406,1098,0,0,0.2708333333333333,2
4625,1110,0,1,0.02500000000000001,0
457,1512,0,0,0.0,0
588,718,0,0,0.3,2
331,235,0,0,0.0,0
264,490,0,0,-0.1875,1
2385,4953,11,49,0.0,0
1015,1520,0,0,0.25,0
10830,837,1,1,0.0,0
